ArticleID,ArticleTitle,Rec1,Rec2,Rec3,Rec4,Rec5
-8278633353687754322,3Dprintler lets you order a 3D print via chatbot,How to finish 3D printed PLA objects,Kickstarter 3D printer will print circuit boards as part of your designs,"Digital manufacturing could eliminate warehouses, create on-demand production",Still a virtual reality skeptic? Here's why you shouldn't be,Introduction To Chatbots
8402348887626635381,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,The web is Doom - mobiForge,The Progress of Web Apps - On the Edge,This year's Founders' Letter,The Business Case for Progressive Web Apps,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current
-6255454949363031923,From Insight-as-a-Service to insightful applications,Stop Trying to Monetize Your Data - Built to Adapt,Doing Data Science Right - Your Most Common Questions Answered,Lessons from Becoming a Data-Driven Organization,The Internet of Things,Machine Learning as a Service: How Data Science Is Hitting the Masses
833256912680066502,"Rumor: ""Android VR"" Will Launch At I/O With Standalone Headset, Reference Appears In Unreal Engine",Google may unveil Android VR headset at I/O conference,VR possibilities at Google I/O 2016: Four things I'm hoping to see,Still a virtual reality skeptic? Here's why you shouldn't be,8 things to expect from Google's biggest event of the year,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!"
-5464698687596686623,IBM's Watson aims to make hospital stays suck a whole lot less,IBM makes a big shift into cognitive computing,IBM Watson: Talking To An Ad,IBM Watson is about to make Slack's chat bot smarter,MedStar Washington Potentially Affected By Bitcoin Ransomware,Bring a dinosaur to life with Watson IoT Platform and Node-RED
4563606877148407012,YouTube's New Messenger Means You'll Never Have to Leave YouTube,[Tools] How to Record your Desktop Screen with YouTube,This year's Founders' Letter,Google Data Center 360° Tour,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
-6792965795755857419,Dial in with ease using the latest Google Calendar app for Android,Stay focused with Google Calendar event notifications in your browser,Add images to questions and answers in Google Forms,Introducing Casting into Hangouts,New settings for 2-Step Verification,Introducing Goals in Google Calendar on Android and iPhone
-8222568914848295086,What Millennials Want from a New Job,Living the Millennial Dream - ABODO,The Top 10 Companies Millennials Want to Work For,"Millennials Don't Care About Owning Cars, And Car Makers Can't Figure Out Why",Marketing To Millennials: 'Dope' Takeaways From 'Just Dance 2017',How to Create a Unified Culture in a Company With Multiple Offices
3845974592165897942,Good to Great,Bill Gates Recommends These 9 Books to Make You a Better Entrepreneur and a Better Person,Behind the Scam: What Does It Take to Be a 'Best-Selling Author'? $3 and 5 Minutes. - The Mission,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,"Brian Kernighan on the typesetting of ""The Go Programming Language"" book",So long MVP. Hello Minimum Loveable Product.
4899554125167253337,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,"Inside Palantir, Silicon Valley's Most Secretive Company",Doing Data Science Right - Your Most Common Questions Answered,"Practical advice for analysis of large, complex data sets","The ""Joel Test"" for Data Science",Building a high-throughput data science machine
-4068545238978420047,Making Apache Spark Easier to Use in Java with Java 8 - Cloudera Engineering Blog,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",Java 8 Streams - A Deeper Approach About Performance Improvement,Spark fragmentation undermines community,Apache Spark as a Compiler: Joining a Billion Rows on your Laptop: A deep dive into the new Tungsten Engine.,GPU Acceleration in Databricks
7288937801410681383,The Gold Mine: A Novel of Lean Turnaround,Lean and banking: the pot of gold waiting to be discovered | Blog post,The future of agriculture - Jim Womack visits a lean farm,Big IT Rising,[Framework] Lean IT Governance,How to Avoid Building Bad Products with Rapid Validation - Lean Startup Co.
4069333494579100211,"Agile is Dead, Long Live Continuous Delivery - Gradle",Embracing Agile,An operating model for company-wide agile development,An operating model for company-wide agile development,12 Agile principles,Big IT Rising
5568089143939945595,"The future of machine learning: 5 trends to watch around algorithms, cloud, IoT, and big data - GeekWire","Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",Intel's internal IoT platform for real-time enterprise analytics,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,How IoT security can benefit from machine learning,Bring a dinosaur to life with Watson IoT Platform and Node-RED
9033884391004475493,The Art of the OKR,How Google sets goals: OKRs - GV Library,tins ::: Rick Klau's weblog,[GTD] Forget About Setting Goals. Focus on This Instead.,How to scale yourself: the '99/50/1' framework - The Mission,Why do you Fail at Growth Marketing and How to Solve it
4315784099325221836,tins ::: Rick Klau's weblog,How Google sets goals: OKRs - GV Library,The Art of the OKR,Google's Cloud Machine Learning service is now in public beta,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Google connects BigQuery to Google Drive and Sheets
-3114161754347804356,How Google sets goals: OKRs - GV Library,tins ::: Rick Klau's weblog,The Art of the OKR,Google connects BigQuery to Google Drive and Sheets,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Google Cloud Platform: The smart person's guide - TechRepublic
5268351851132250,The bizarre beasts living in Romania's poison cave,WATCH: Bacteria Invade Antibiotics And Transform Into Superbugs,Wings of Desire (1987),A programming language for living cells,Why Nature Prefers Hexagons - Issue 35: Boundaries - Nautilus,Corporate venture growth in Brazil is another sign of a mature tech ecosystem
4463025528374352465,The Blockchain is the new Google,From fine wine to lotteries: Blockchain tech takes off - BBC News,Blockchain Technology Could Put Bank Auditors Out of Work,Blockchain Huge Potential For The Insurance Industry,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk
-3980612444042641628,The future of SaaS hosted git repository pricing,Live Event: Unveiling the GitLab Master Plan,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Introducing unlimited private repositories,GitLab.com melts down after backup fail and data loss,"A whole new GitHub Universe: announcing new tools, forums, and features"
-4050006690189978332,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Making Sense of Unstructured Data with Google Cloud NL API,"A Neural Network for Machine Translation, at Production Scale"
2916072977192006313,Confused by blockchains? Revolution vs Evolution,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain CEO's Business Advice on Bitcoin Startups,Banks find blockchain hard to put into practice - FT.com,Blockchain won't kill banks: Bitcoin pioneer,Venture Capitalists Inject Nearly Half a Billion in Bitcoin
2704671778746002960,Report: Google I/O to focus on voice search as Google preps 'Chirp' competitor to Amazon Echo,NYT: Google To Announce Alexa Competitor Called 'Google Home' At I/O,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",This year's Founders' Letter,Voice Search Could Become Mainstream Within the Next 5 Years,8 things to expect from Google's biggest event of the year
-3954182109690207118,Google Cloud Goes to the Farm,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",Feeding 10 Billion People - Land O'Lakes & CTP,Google Cloud Platform: The smart person's guide - TechRepublic,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,77 Startups Powering The Future Of Farming And Agribusiness
626121253933491500,Amazon just released a Dash button for AWS IoT,Amazon now has a programmable Dash Button for the IoT,Amazon Widens Its Push-Button E-Commerce Horizons,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,Amazon takes on PayPal and others with launch of Amazon Payments partner program,How AWS came to be
-2097626568191556277,Google releases keyboard for the iPhone with built-in search features,The battle for the post-digital world,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Google is testing a new Material Design layout for desktop searches,This year's Founders' Letter,Introducing Google Cloud Search: Bringing the power of Google Search to G Suite customers
-9128652074338368262,Clarifying the uses of artificial intelligence in the enterprise,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence,The next AI is no AI,5 Skills You Need to Become a Machine Learning Engineer | Udacity,How real businesses are using machine learning
5088013394045185972,JavaScript Conquered the Web. Now It's Taking Over the Desktop,"The Languages, Frameworks and Tools You Should Learn in 2017",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,WhatsApp just released desktop apps for Mac and Windows,Leveling Up Your JavaScript -,A Baseline for Hybrid Mobile Developers
2470587255066232267,University of Washington partners with Disney to develop cheap touch-sensitive paper - GeekWire,The Truth About Multiple H1 Tags in the HTML5 Era,[Paper] Portfolio Management White Paper,Google Tag Manager: Giving Mobile Tagging a Little Extra Love,This Battery-Free Computer Sucks Power Out Of Thin Air,Google researchers teach AIs to see the important parts of images - and tell you about them
-8044741783031984918,It's coming! The Internet of Eyes will allow objects to see,The Internet of Things,Why image recognition is about to transform business,5 Internet Trends to Pay Attention to in Late 2016,Is machine learning the next commodity?,Artificial Intelligence Can Now Design Realistic Video and Game Imagery
3017826600888052926,Quip now connects with Slack to help teams kick more butt across the globe,Introducing Sign in with Slack - Slack Platform Blog,Slack and Google announce partnership focused on better integrating their services,How people using Slack to organise their grocery lists is helping it grow,"Slack debuts message buttons: bots with Trello, Kayak and 10 more to perform tasks in its app",IBM Watson is about to make Slack's chat bot smarter
-292870452169977398,Strategyzer | Business Model Generation - Book,The Future of Business is Design,Bill Gates Recommends These 9 Books to Make You a Better Entrepreneur and a Better Person,How enterprise architects can help ensure success with digital transformations,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,An operating model for company-wide agile development
-9073210245497295284,Number plate recognition with Tensorflow,A Beginner's Guide To Understanding Convolutional Neural Networks,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,Generative Models,Analyzing 50k fonts using deep neural networks,rasbt/python-machine-learning-book
5932519440360275788,Anders Hejlsberg on Modern Compiler Construction (Channel 9),Closure Compiler in JavaScript,Building a Modern Bank Backend,Apache Spark as a Compiler: Joining a Billion Rows on your Laptop: A deep dive into the new Tungsten Engine.,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",Type-based aliasing in C
-1114438937697017987,"Amazon open-sources its own deep learning software, DSSTNE","Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire",Amazon just released a Dash button for AWS IoT,Why Deep Learning Is Suddenly Changing Your Life,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,Amazon takes on PayPal and others with launch of Amazon Payments partner program
-3641109225708958458,Talking Payments - Article Profile - 93% of banks expect video to boost satisfaction,Digital Tool as Strategic Enabler for Banking Transformation,The Future of Digital Banking is Now,A digital crack in banking's business model,Building a digital-banking business,Blockchain Will Be Used By 15% of Big Banks By 2017
8650916538290053756,Artem vs. Predator,Google unveils a gigapixel 'Art Camera' that lets you view paintings down to the brushstrokes,Raspberry Pi gets an 8-megapixel Sony camera upgrade,A Single App That'll Wrangle Your Millions of Messengers,A Single App That'll Wrangle Your Millions of Messengers,Apple Unveils iPhone 7 Alongside 7 Plus With Dual-Lens Camera
-4095842175692097942,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities","Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion","Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC"
7400247075626691905,Google may unveil Android VR headset at I/O conference,"Rumor: ""Android VR"" Will Launch At I/O With Standalone Headset, Reference Appears In Unreal Engine",VR possibilities at Google I/O 2016: Four things I'm hoping to see,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",8 things to expect from Google's biggest event of the year,Still a virtual reality skeptic? Here's why you shouldn't be
-3697359635590244386,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",8 things to expect from Google's biggest event of the year,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,What the Google I/O schedule tells us about the future of Android,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",VR possibilities at Google I/O 2016: Four things I'm hoping to see
-1536771179525677307,Time Pressure: Behavioral Science Considerations for Mobile Marketing,Mobile marketing statistics 2016,22 Mobile Stats Everyone Should Know - DZone Mobile,"Recharge, used to book hotel rooms by the minute, raises $2.3 million",So long MVP. Hello Minimum Loveable Product.,This year's Founders' Letter
-3555513869558669392,Optimizing Elasticsearch Searches,Build Zappos like faceted navigation with ElasticSearch,Better Exposed Filters ,An Introduction to Elasticsearch Aggregations,Aggregations,A Beginner's Guide To Understanding Convolutional Neural Networks
2271592336048425450,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",What the Google I/O schedule tells us about the future of Android,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,8 things to expect from Google's biggest event of the year,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog"
6757348772114374254,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Making Sense of Unstructured Data with Google Cloud NL API,The 200 billion dollar chatbot disruption
-6858240061363309239,Get ready for Google I/O 2016,"Google I/O 2016: Develop, Grow & Earn","Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!","Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",[Tools] 12 Apps for Live-streaming Video,New Sessions Added To Google I/O 2016 Schedule
7616911250531106641,The #digital upstarts offering app-only #banking for smartphone users #benchmark,Atom Bank launches app-only savings account for iPhones,Digital banking: Mondo hopes to become the Google or Facebook of the sector,App-only bank Atom just launched - here's what it looks like,Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry,Building a digital-banking business
-1151034582628982912,New JavaScript library brings Java to browsers without applets,Nashorn: JavaScript made great in Java 8,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Java 8 Streams - A Deeper Approach About Performance Improvement,Making Apache Spark Easier to Use in Java with Java 8 - Cloudera Engineering Blog,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
-7331393944609614247,Here's proof that Google is getting serious about battling Facebook in a key area,VR possibilities at Google I/O 2016: Four things I'm hoping to see,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Google Cloud Platform: The smart person's guide - TechRepublic,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!"
-6941221957775073810,Amazon now has a programmable Dash Button for the IoT,Amazon just released a Dash button for AWS IoT,Amazon Widens Its Push-Button E-Commerce Horizons,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,Amazon takes on PayPal and others with launch of Amazon Payments partner program,How AWS came to be
-5181489804915739633,New Sessions Added To Google I/O 2016 Schedule,Tango: See more with a new kind of phone,What SWAG will Google I/O 2016 attendees take home?,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",What the Google I/O schedule tells us about the future of Android,8 things to expect from Google's biggest event of the year
-4089455027188314262,Python Is Not Java (dirtSimple.org),Python Ecosystem for Machine Learning - Machine Learning Mastery,Java 8 Streams - A Deeper Approach About Performance Improvement,Python Eats Into R as SAS Dominance Fades,Making Apache Spark Easier to Use in Java with Java 8 - Cloudera Engineering Blog,Java 8 Best Practices Cheat Sheet
8473367604990946179,"How to Build and Publish ES6 Modules Today, with Babel and Rollup",World's Fastest Growing Open Source Platform Pushes Out New Release,Welcome Google Cloud Platform!,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack
-8526359231369823784,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Self-Driving Cars and Insurance,"The new, scary face of auto insurance","Zendesk's ""Automatic Answers"" taps machine learning, AI to generate bot-style email responses",Land Rover's lead engineer explains autonomous off-road driving,Making digital strategy a reality in insurance
-2429242279408079104,9 Useful Apps for Product Managers - Product Hunt,[Select Repost] Scaling the Product Owner Role,How We Got on Product Hunt Without ANY Preparation & the Gobs of Money We Made,Organizing for digital acceleration: Making a two-speed IT operating model work,The 7 Habits of a Highly Effective Product Owner,How to overcome UX challenges with product design sprints
-5482295111885355605,UK shows off prototype of digital iPhone driving license using Apple's Wallet app,Failing model: Plastic Card + App and Card + Wallet Players?,Google will stop supporting physical Google Wallet cards on June 30,Why your wallet is becoming the next platform,What to Expect at WWDC 2016,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-1196068832249300490,The 'impossible' is now a reality,trendwatching.com | 5 Trends for 2017 | TrendWatching,VR possibilities at Google I/O 2016: Four things I'm hoping to see,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,New smart toothbrush from Philips Sonicare is a true 21st-century product,Ikea ponders the future of retail with virtual reality pilot app
-3759596852696130492,Prototypal Object-Oriented Programming using JavaScript,Exploring Java's Hidden Costs,Chrome DevTools - Console API Reference,Don't Store Data in the Application Object,Leveling Up Your JavaScript -,Inversion of Control Containers and the Dependency Injection pattern
-1480913447590268358,"Smart Managers Don't Compare People to the ""Average""",Blockchain Technology Could Put Bank Auditors Out of Work,Linux at 25: Q&A With Linus Torvalds,So long MVP. Hello Minimum Loveable Product.,The new tech talent you need to succeed in digital,Seniority
-8030181764663752939,"Neuroscience confirms that to be truly happy, you will always need something more",[GTD] Forget About Setting Goals. Focus on This Instead.,"Goal Setting: Don't Lose Motivation! "" Mind Tools Blog",Practical Frameworks for Beating Burnout,So long MVP. Hello Minimum Loveable Product.,Bill Gates Recommends These 9 Books to Make You a Better Entrepreneur and a Better Person
2841458704671711663,8 things to expect from Google's biggest event of the year,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,What the Google I/O schedule tells us about the future of Android,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC","Rumor: ""Android VR"" Will Launch At I/O With Standalone Headset, Reference Appears In Unreal Engine"
4156291407717900798,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions","Thunder, a Drupal distribution for publishers",Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain CEO's Business Advice on Bitcoin Startups,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary"
6260854150231142184,Big data analysis to transform insurance industry - FT.com,The insurance tech equation,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,How Blockchain Technology Can Improve the Insurance Industry,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",InsurTech: changing the world of risk - Chris Skinner's blog
-6313130301986591995,Face recognition app taking Russia by storm may bring end to public anonymity,Why image recognition is about to transform business,Bots won't replace apps. Better apps will replace apps.,This year's Founders' Letter,Face centering Android library build on top of Google Vision API - Free Code Camp,Google Is About to Supercharge Its TensorFlow Open Source AI
9028580484484026894,Cool URIs don't change,Elasticsearch Parent/Child Relationship for Document Security,Google Ranking Factors: The Complete List,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Joel on Software,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine
-4505450219733822767,Brand Marketing is a Growth Hack. Here's the Recipe,NOW NEW NEXT: How growth champions create new value,Why do you Fail at Growth Marketing and How to Solve it,So long MVP. Hello Minimum Loveable Product.,3 Pillars of the Most Successful Tech Products,How to grow your startup with no budget
-2038869595290705317,"Google I/O: Expect A.I., virtual reality","Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",8 things to expect from Google's biggest event of the year,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,What the Google I/O schedule tells us about the future of Android
-609005539129550395,AI learns and recreates Nobel-winning physics experiment,Here's how The White House wants the U.S. to approach AI R&D,Andrew Ng: What AI Can and Can't Do,Request for Information: Preparing for the Future of Artificial Intelligence,The next AI is no AI,"Google, Amazon and the upcoming battle over AI Assistants"
-6644942243927487010,"Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire","Amazon open-sources its own deep learning software, DSSTNE",Google launches distributed version of its TensorFlow machine learning system,Celebrating TensorFlow's First Year,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
5338575284381070077,A Major Law Firm Will Soon Be Using A Robotic Lawyer,How to augment your career with leadership coaching,Million-dollar babies,Imagine Discovering That Your Teaching Assistant Really Is a Robot,Captain Fantastic (2016),Clarifying the uses of artificial intelligence in the enterprise
4369833742675497700,Transforming life insurance with design thinking,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Making digital strategy a reality in insurance,The insurance tech equation,Linking the customer experience to value,Organizing for digital acceleration: Making a two-speed IT operating model work
-6184570078369383337,Google unveils a gigapixel 'Art Camera' that lets you view paintings down to the brushstrokes,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,'Magenta' Is Google's New Project To Make Art With Artificial Intelligence,Artem vs. Predator,Machine learning at the museum: this week on Google Cloud Platform,A Single App That'll Wrangle Your Millions of Messengers
1179017557429431126,Imagine Discovering That Your Teaching Assistant Really Is a Robot,America's allies are preparing for a bumpy ride,IBM makes a big shift into cognitive computing,Peter Doig sued for disavowing 40-year-old painting,IBM Watson: Talking To An Ad,"As Artificial Intelligence Evolves, So Does Its Criminal Potential"
-4793380646045599184,Don't Estimate the Sprint Backlog Using Task Points,Scrum Community - Scrum Alliance,Frequently asked questions about design sprints - InVision Blog,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Do you want Crappy Agile?,Jira - A Necessary Evil?
-2083103312491589695,Managing Machines at Spotify,Spotify chooses Google Cloud Platform to power data infrastructure,Building a technical career path at Spotify,Spotify's Latest Algorithmic Playlist Is Full of Your Favorite New Music,Will blockchain drive the fourth Industrial Revolution?,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together
4812089894709919859,"Xiaomi will play an exciting part at Google I/O, apparently","Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",8 things to expect from Google's biggest event of the year,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,VR possibilities at Google I/O 2016: Four things I'm hoping to see,What the Google I/O schedule tells us about the future of Android
-3400154175330058574,Skill swarms - a new way to share expertise and work smarter together - Skillhive,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",5 reasons your employees aren't sharing their knowledge,Docker Swarm,Docker 1.12: Now with Built-in Orchestration!,Embracing Agile
-5573840044320724169,C# vs. Swift - Iron Man vs. Captain America,Google may be considering Swift for use on Android,Apple Releases First Preview of Swift 3.0 for Developers,Swift Top 10 Articles For The Past Year (v.2017),Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Adulterated Objective-C
-3790313320969344469,The Great Library,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,Japanese for dummies,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Calm down: Google's use of Material Design on iOS is fine,Tango: See more with a new kind of phone
-3468529816757552062,Setting up an Android ContentProvider with a join,Java 8 Streams - A Deeper Approach About Performance Improvement,"So, You Want A Table, Huh?",Mastering Bash and Terminal,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Why porting an iOS design to Android will not work
-4265002939801511319,Me an' Algernon,Being A Developer After 40 - Free Code Camp,Seniority,Beyond Progressive Web Apps Part 2: We Need to Know What's New,10 Simple Habits of Insanely Productive People,Ray Kurzweil: The world isn't getting worse - our information is getting better
7168347449326627154,NYT: Google To Announce Alexa Competitor Called 'Google Home' At I/O,Google Home brings Google's smarts to your living room,Report: Google I/O to focus on voice search as Google preps 'Chirp' competitor to Amazon Echo,"Google's I/O Is a Little Like Disneyland, and a Little Like a Garage Sale","Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",The battle for the post-digital world
-8669770849634489893,Here's How L'Oréal Plans To Continue Its Digital Innovation,Five things to include in your digital transformation playbook,Where is the bank's digital vision? - Chris Skinner's blog,The Language of Beauty Ads,7 Questions to Ask Before Your Next Digital Transformation,Organizing for digital acceleration: Making a two-speed IT operating model work
-8762137947059829459,"Google I/O 2016: Develop, Grow & Earn","What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog","Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",Android Studio 2.2,Novidades do Android Studio 2.2,What the Google I/O schedule tells us about the future of Android
-7492067511846042603,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Android Studio 2.2,Novidades do Android Studio 2.2,Android Studio 2.0 | Android Developers Blog,Support Ended for Eclipse Android Developer Tools,"Google I/O 2016: Develop, Grow & Earn"
-538948733779286129,The Physical Web,The Progress of Web Apps - On the Edge,The Business Case for Progressive Web Apps,Platform Overview,Infrequently Noted,The web is Doom - mobiForge
-1995591062742965408,Firebase Test Lab for Android,Cookbook,Android Studio 2.0 | Android Developers Blog,Novidades do Android Studio 2.2,Android Studio 2.2,Clean Coder Blog
-3363563881552061188,Do you want Crappy Agile?,12 Agile principles,Embracing Agile,An operating model for company-wide agile development,An operating model for company-wide agile development,"Agile is Dead, Long Live Continuous Delivery - Gradle"
7414965642940222121,New ways to keep data flowing between your apps and ours,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,"Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline","Choose the Google Docs, Sheets, and Slides files you want to access offline","Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Accept questions from your audience when presenting in Google Slides
-8123488152283046553,"Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline","Choose the Google Docs, Sheets, and Slides files you want to access offline","Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Dial in with ease using the latest Google Calendar app for Android,New ways to keep data flowing between your apps and ours,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click
-5115041394506292462,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,New ways to keep data flowing between your apps and ours,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too","Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline","Choose the Google Docs, Sheets, and Slides files you want to access offline",Dial in with ease using the latest Google Calendar app for Android
-7702672626132856079,Google supercharges machine learning tasks with TPU custom chip,Google's Tensor Processing Unit explained: this is what the future of computing looks like,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",How real businesses are using machine learning,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Machine Learning Is No Longer Just for Experts
8118799783881928573,Usability Heuristics for Bots - Chatbots Magazine,To bot or not to bot,How will bots make money? Here are 7 business models,Introduction To Chatbots,Facebook Messenger bots are here and they want to kill apps,How bot-to-bot could soon replace APIs
-8149429101569453081,Saying �� to Allo and Duo: new apps for smart messaging and video calling,Google isn't abandoning Hangouts for its new chat apps,"Google launches Duo video calling app, a dull cross-OS FaceTime rival","Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2",Chat Smarter with Allo,Google's Hangouts still has a future: as an enterprise communication app
