ArticleID,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-6836878558969096936,Best of CES 2017: The Show's 10 Coolest Designs,Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search,[Books] Biblioteca FIXE: Sugestões de Leitura,O RH chega ao board,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen"
-6829454835237183038,Windows Server 2016 will come with commercial support for Docker Engine,Kit de sensor BLE alimentado por energia solar,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Contêiner do Windows no Windows 10,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems","STEMTera, uma protoboard com Arduino Uno embutido"
-6820241302436968068,Goodbye accountants! Startup builds AI to automate all your accounting,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
-6814865160063205794,Million-dollar babies,Good Software Takes Ten Years. Get Used To it.,This Super Accurate Portrait Selection Tech Uses Neural Networks,Build Zappos like faceted navigation with ElasticSearch,Terms Aggregation in Elastic Search,Aggregations
-6810702648836067504,"diagramas para entender, criar, inovar e empreender: 3",Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Corporate Intrapreneur Summit,The return of the machinery question,Python Eats Into R as SAS Dominance Fades,Who sponsors Drupal development? | Dries Buytaert
-6810247170272691501,[Tools] Universities should ban PowerPoint - It makes students stupid and professors boring,"[Tools] Personal Kanban in ""Favro""",Onde está o duplo diamante do DT em projetos ágeis,[Security] How to Set Expiration Dates for Shared Google Drive Files,Lady Gaga's startup Backplane burns out and sells assets,Atlassian launches Bitbucket Pipelines
-6798063491592860025,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Create a Slack Bot to Interact with Your Wiki,Introducing Mini Courses with MS Chatbots,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"Lava-louças Brastemp Ative! 8 Serviços Blf08abana 110v - R$ 800,00",React v15.0.1 | React
-6792965795755857419,Dial in with ease using the latest Google Calendar app for Android,Google moves to replace Flash with HTML5,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery
-6783772548752091658,Livro: Retrospectivas Divertidas,Cinco competências comportamentais para você ser um bom líder,Lessons from Becoming a Data-Driven Organization,Stop Trying to Sound Smart When You're Writing,A Technical Primer On Causality,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider
-6778286518036232293,The Future of Business is Design,Inception (2010),"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Google Unveiled A Partnership With Levi's To Create Smart Clothing,Amazon has a huge opportunity in grocery delivery,Trooly is using machine learning to judge trustworthiness from digital footprints
-6772940823843058601,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Android Developers Summer Reading List,Announcing updates to Google's Internet of Things platform: Android Things and Weave,"How to build a robot that ""sees"" with $100 and TensorFlow",Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Humanos seriam desse jeito se evoluíssem para sobreviver a acidentes de carro
-6765871608738223618,10 Simple Habits of Insanely Productive People,"Tenho várias ideias de negócios, qual devo levar adiante?","Celular se torna principal meio de acesso à internet nos lares, diz IBGE",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,Platform Overview
-6761163882540291832,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Accenture and Adboe team on customer enegagement,"Facebook says 10K+ developers are building chatbots, analytics coming",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Blockchain Will Be Used By 15% of Big Banks By 2017,Global Data Bank é lançado internacionalmente com operação no Brasil
-6752460077509522132,"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",Conversational Banking; from branches to bots. - Chatbots Magazine,3Dprintler lets you order a 3D print via chatbot,"Amazon looking to buy Capital One? "" Banking Technology",MOBILE TIME - Nascem os primeiros chatbots brasileiros,"Chatbots Are Your Newest, Dumbest Co-Workers"
-6739959707791598779,Introduction To Chatbots,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Pury - New Way to Profile Your Android Application,Tasting Dagger 2 on Android,Duolingo's chatbots help you learn a new language,Client-side ranking to more efficiently show people stories in feed
-6734931185433789466,Android Quickstart - Firebase,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,"ConstraintLayout, Inside and Out: Part 2",Governo busca empresas para aprimorar Internet das Coisas no Brasil
-6728844082024523434,Seniority,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",When to make a Git Commit,Dries Buytaert,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic
-6727357771678896471,This Super Accurate Portrait Selection Tech Uses Neural Networks,The Competitive Landscape for Machine Intelligence,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Why Steve Jobs Was Proud to Steal Ideas,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
-6726685468116057064,Steak Tartare com Salada Verde,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Where accountability really matters,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Bash on Ubuntu on Windows - Download Now!
-6713697716910928909,Solidity Available in Visual Studio - Ethereum Blog,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Características de Arquiteturas Evolutivas
-6707474286910397949,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,"Waterwheel, the Drupal SDK Ecosystem",Dries Buytaert,"Thunder, a Drupal distribution for publishers","Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",State of Drupal 2016 survey | Dries Buytaert
-6704596170548214779,Introducing Google Consumer Surveys API: Let users of your app create surveys,New settings for 2-Step Verification,"Big data, big differentiators: this week on Google Cloud Platform","Cloud Shell now GA, and still free",Here's how Evernote moved 3 petabytes of data to Google's cloud,A New Number Format for Computers Could Nuke Approximation Errors for Good
-6697357763177451167,Starbucks tem mais dinheiro do cliente em cartões do que bancos,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015","Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho."
-6661204361884000663,Java 9 Early Access: A Hands-on Session with JShell - The Java REPL | Takipi Blog,Usando o git add interativo,Eclipse Foundation Releases Neon,Aurelia 1.0 is Here!!!,Descubra os 10 apps mais importantes para o brasileiro,Sobre o Hipsters Ponto Tech
-6659933088254630422,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Introduction To Chatbots,Stop Trying to Sound Smart When You're Writing,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Learn Hiragana: The Ultimate Guide,Top 30 Commonly Confused Words in English
-6654470039478316910,Advanced Android Espresso,My favorite people and resources to learn Android programming from,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%)
-6644942243927487010,"Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire",Here's proof that Google is getting serious about battling Facebook in a key area,Machine Learning for Designers,8 things to expect from Google's biggest event of the year,These gloves can convert sign language into spoken English,Twitter adds a button to help you train its algorithm
-6644783190271298310,Principais startups do ramo de saúde criam o 1o Cluster de Saúde Digital do Brasil | EXAME.com,InsurTech: changing the world of risk - Chris Skinner's blog,"Rakuten Acquires Bitnet, Plans to Open Blockchain Lab in Northern Ireland - Crowdfund Insider",O Empreendedorismo no Mercado de Seguros,Democratizing AI,Itaú vende carteira de vida para Prudential | Sonho Seguro
-6643406494673362190,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Dafiti registra alto crescimento no 1º semestre de 2016,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Falling for Web Components,Black Friday salva o ano do e-commerce
-6642751159620064055,What to look for in a code review ,"Use Gulp for Drupal 8 with Teams, Part 1: Gulp Setup",Ultimate AI battle - Apple vs. Google,Acquia Engage 2016: Day One,Drupal 8.1.0 is now available,A plan for media management in Drupal 8
-6625273991455881177,Meet the man behind the rise of bots and our AI-driven future,Artificial Intelligence Can Now Design Realistic Video and Game Imagery,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,When will AI and NLP actually turn Siri into your best friend?,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,Physicists have discovered what makes neural networks so extraordinarily powerful
-6623581327558800021,"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone",New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,"As Artificial Intelligence Evolves, So Does Its Criminal Potential","What do you mean by ""Event-Driven""?",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Machines are learning to find concealed weapons in x-ray scans
-6603970730135147059,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,A Technical Primer On Causality,Mastering Software Development in R · Simply Statistics,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Digital Leadership Is Not an Optional Part of Being a CEO
-6603351162010419903,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,"Agile is Dead, Long Live Continuous Delivery - Gradle",Kotlin no Backend (Parte 2) :: Concrete Solutions,Do you want Crappy Agile?,Inception (2010),The Hateful Eight (2015)
-6598777110696521045,"ConstraintLayout, Inside and Out: Part 1","ConstraintLayout, Inside and Out: Part 2","Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,Soylent's new drink will replace your breakfast and morning coffee,Testes unitários vs aceitação - Android Dev BR
-6592496241044177853,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Still a virtual reality skeptic? Here's why you shouldn't be,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
-6590819806697898649,Listas com RecyclerView - Android Dev BR,Using DiffUtil in Android RecyclerView,Descubra os 10 apps mais importantes para o brasileiro,Usando o git add interativo,Aurelia 1.0 is Here!!!,WeakReference in Android - Google Developers Experts
-6590064508646491981,Kotlin no Backend (Parte 2) :: Concrete Solutions,"A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL",How Kotlin became our primary language for Android - UPTech Team,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,Spring Boot 1.4 released,"Kotlin in Production - What works, Whats broken"
-6584408680441477889,O que é liderança? Liderança é fazer a diversidade funcionar.,"Little girls doubt that women can be brilliant, study shows",Feito por Elas #01 Agnieszka Holland | AntiCast,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Entrevista com Alejandro Formanchuk: ""Funcionário não é público interno - é ator extremo"" - Blog do Love Mondays","Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!"
-6579094253358169934,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",The 200 billion dollar chatbot disruption,Google Cloud Goes to the Farm,Why image recognition is about to transform business,Nespresso,3 Pillars of the Most Successful Tech Products
-6566328419164841526,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform","Terrapattern is reverse image search for maps, powered by a neural network",Enterprise developers look out: this week on Google Cloud Platform,Making open source data more available,The AI business landscape,"Franz - from idea to 10,000 daily active users in 26 days - Meet Franz"
-6558712014192834002,Google's fair use victory is good for open source,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Build Quality In: The Key to Continuous Delivery in Kanban,Here's how Evernote moved 3 petabytes of data to Google's cloud,Up your DevOps chops with this online Kubernetes class,Hedron: Or my dissatisfaction with local development #Drupal
-6545872007932025533,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Android Developers Summer Reading List,DBA BRASIL no INTEROPMIX 2016,Visa inaugura centro para inovação em pagamento digital | EXAME.com,bliki: StranglerApplication,Announcing updates to Google's Internet of Things platform: Android Things and Weave
-6542996094878850014,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,"Stock photos of women of color in tech, now free to use.",Sign Up for Mike Cohn's Best Content,Front in BH 2016,Moovit's new Facebook chatbot for transport proves v0 is not going to be good,Google Cloud Platform sets a course for new horizons
-6526049170878205106,Bradesco oferece saques com tecnologia de aproximação - Meio & Mensagem,[Tools] 7 Ferramentas Gratuitas para Criar Diagramas de Processos com BPMN,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,A plan for media management in Drupal 8,Sony Smart Tennis Sensor for Tennis Rackets,Digital Consumers Forced to Open Accounts in Branches
-6523871595334455509,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Get ready for Google I/O 2016,Microsoft's Digital Post-It Is Powered By Your Office's Horrible Lighting,Android - The dark side of Jack and Jill,Closure Compiler in JavaScript
-6518848947517153700,Apple &amp; others may soon be barred from using SMS for two-factor authentication,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE",10 Simple Habits of Insanely Productive People,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,"Tenho várias ideias de negócios, qual devo levar adiante?"
-6511498353814468913,Arduino clone is as small as an AA battery,Google lança YouTube Kids no Brasil | Google Discovery,New Sessions Added To Google I/O 2016 Schedule,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI
-6504694273023533189,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine","Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine","Why Performance Matters, Part 2: Perception Management - Smashing Magazine",Falling for Web Components,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Building a Facebook Chat Bot with Node and Heroku
-6484638837208285334,"5 awesome Google Keep features you aren't using, but should be",DeepMind moves to TensorFlow,The AI business landscape,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Threaded messaging is coming to Slack
-6479058008972757948,#188. Profissão: Gerente de Projetos by brains9,4 lessons we can learn from Denmark about happiness at work,Ibope revela lojas de e-commerce com maior recomendação no Brasil - B!T magazine,The brilliant mechanics of Pokémon Go,Sete Reinos,Black Mirror (TV Series 2011- )
-6467708104873171151,5 reasons your employees aren't sharing their knowledge,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters","Secret's founder returns with Bold, a Medium for enterprise",How This Googler Redesigned The Workweek,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Good Software Takes Ten Years. Get Used To it.
-6466212324513658217,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Event] Palestra Competitive Strategy and Competition,[GTD] Forget About Setting Goals. Focus on This Instead.,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",Onde está o duplo diamante do DT em projetos ágeis,Feeding 10 Billion People - Land O'Lakes & CTP
-6463637573325658465,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Honda: mulheres já respondem por 50% das vendas via consórcio,Apple and Google Are Teaming Up to Kill Robocalls Forever,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Google acquires deep search engine Kifi to enhance its Spaces group chat app,How to Create an Exponential Mindset
-6460613292182959076,Cartórios Não Podem Recusar Registro De Filhos De Casais Homoafetivos,Campanha do Dicionário Houaiss pretende mudar a definição de família,"No dia das mães, Avon lança campanha com mãe de jovem gay","No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Amor sem fronteiras: série de fotos retrata casais gays pelo mundo,Mark A Trello Card As Done (And Drop The Mic On That Task)
-6444494220871855741,Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Create a Slack Bot to Interact with Your Wiki,Introducing Mini Courses with MS Chatbots,"Lava-louças Brastemp Ative! 8 Serviços Blf08abana 110v - R$ 800,00"
-6400214860728938634,"How to build a robot that ""sees"" with $100 and TensorFlow",Humanos seriam desse jeito se evoluíssem para sobreviver a acidentes de carro,Google Cloud Platform: The smart person's guide - TechRepublic,15 Interesting JavaScript and CSS Libraries for October 2016,Dark Scrum,Cubr
-6394075099886393346,Automate deployments and traffic splitting with the App Engine Admin API,Can Artificial Intelligence Enhance The Mass Customization In The Fashion Sector ?,Microsoft to acquire LinkedIn,Google Expands Android Pay APIs,Google's fair use victory is good for open source,The Competitive Landscape for Machine Intelligence
-6380034335041404646,How the Communicator's Dilemma Made a 'Slack-lash' Inevitable,Why 2016 is shaping up to be the Year of the Bot,Why Steve Jobs Was Proud to Steal Ideas,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters","Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Gmail API: New endpoints for settings
-6369211973034956889,Getting Started with Activity & Fragment Transitions (part 1),Up your app's sharing game with DirectShare - Google Developers,"Facebook details its company-wide machine learning platform, FBLearner Flow",Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%)
-6359164149051198083,A ESTRATÉGIA DA C&A PARA VENCER A CRISE - brweek,Nova versão do SAP Hybris Commerce vai ser apresentada durante o Forum E-Commerce Brasil 2016 - B!T magazine,Taco Bell chega ao Brasil no segundo semestre desse ano,Rakuten é premiada como melhor plataforma de e-commerce do varejo brasileiro,Unilever cria e-commerce para lojas de bairro | EXAME.com,Alibaba quebra recorde de vendas no Dia dos Solteiros - e-commerce
-6348943063155744346,Digital transformation in the Premier League: Southampton FC's fan-first strategy,Failing model: Plastic Card + App and Card + Wallet Players?,IBM Watson e a revolução pela inteligência artificial | Udacity,"Docker - Build, Ship, and Run Any App, Anywhere",Google agora informa em tempo real se estabelecimento está lotado - Startupi,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!
-6347212504547574224,Building more accessible technology,"Facebook details its company-wide machine learning platform, FBLearner Flow",Gmail API: New endpoints for settings,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Up your app's sharing game with DirectShare - Google Developers,Designing smart notifications
-6346370309134074019,Documentando uma API JAX-RS com Swagger,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java,Spring Boot 1.5.1 released,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Say Hello to React CDK - KADIRA VOICE,Introducing Mini Courses with MS Chatbots
-6340141548068597572,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,What DeepMind brings to Alphabet,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's new online certification program kicks off with data science specialization | ZDNet,AI Revolution 101 - AI Revolution,Microsoft's Open Source Love Affair Reaches New Heights
-6308850935767965758,So long MVP. Hello Minimum Loveable Product.,Post: Just Say mNo to Hungarian Notation,Readable Content Guides,Sam Newman - Backends For Frontends,The Importance of Code Reviews,The Joel Test: 12 Steps to Better Code
-6289909056857931861,Engineering Digital Banking Solutions Using UX Methodology,"Sompo Seguros aproveita ""onda"" do Pokémon Go para alertar sobre segurança no trânsito | Sonho Seguro","""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living","LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",Samsung se alia a bancos para lançar pagamento por celular no Brasil,MOBILE TIME - Santander lança app dedicado aos clientes do ensino superior
-6273159470243757969,This startup uses machine learning and satellite imagery to predict crop yields,Apple and Google Are Teaming Up to Kill Robocalls Forever,The Internet of Things,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs","How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Google Cloud Goes to the Farm
-6255454949363031923,From Insight-as-a-Service to insightful applications,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera","Facebook sends a loud message about Messenger bots, but will we hear it?",Ray Kurzweil Predicts Three Technologies Will Define Our Future,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
-6255158415883847921,"Para neurociência, motivação não é fator principal em mudança de hábitos",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,What Science Tells Us About Leadership Potential,O que você deve fazer para se tornar um líder melhor?,What Millennials Want from a New Job
-6245566021053602636,Google lança YouTube Kids no Brasil | Google Discovery,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,This Super Accurate Portrait Selection Tech Uses Neural Networks,IBM Watson is about to make Slack's chat bot smarter,Arduino clone is as small as an AA battery,Google is quietly making progress on one of its most jaw-dropping tech projects
-6244754482621048226,The Best Advice From Quora on 'How to Learn Machine Learning',CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,Terms Aggregation in Elastic Search,"The ""Joel Test"" for Data Science","Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen",Are Chatbots Really The Future Of Web Design?
-6238628334008320788,8 Books Stanford MBAs Recommend You Read This Summer,Trends in Version Control Land: Innersourcing,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,[Retro] Celebration Grids - Management 3.0
-6195775145989617417,LukeW | Obvious Always Wins,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Adulterated Objective-C,"Apple launches Safari Technology Preview, a browser for developers including experimental web features",How Apple Keyboards Lost a Logo and Windows PCs Gained One
-6192959589652486637,Google's official Project Wing logo revealed,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,DeepMind moves to TensorFlow,The AI business landscape,"Google I/O: Expect A.I., virtual reality",8 things to expect from Google's biggest event of the year
-6192579321116251081,3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web,"020 - Carine Roos: 33 dias sem machismo, MariaLab, Upwit e os desafios das mulheres na tecnologia",Tipos de teste com usuários explicados em GIFs,Sua comunidade de Teste.,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,My Approach to Mobile Accessibility Testing - Ministry of Testing
-6184570078369383337,Google unveils a gigapixel 'Art Camera' that lets you view paintings down to the brushstrokes,Google releases keyboard for the iPhone with built-in search features,O WhatsApp do Google chegou e se chama Allo,The 100 (TV Series 2014- ),Infrequently Noted,The Progress of Web Apps - On the Edge
-6174871522512566947,Program your way to your next grocery delivery,"National Coming Out Day - Wikipedia, the free encyclopedia",Comprar roupas está ficando fora de moda no Reino Unido,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,[Retro] Celebration Grids - Management 3.0
-6157984812065160219,"""Empresas inovadoras não fazem produtos - constroem conceitos que se tornam experiências irresistíveis""",Mobile Time,Digital Leadership Is Not an Optional Part of Being a CEO,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor
-6156751702010469220,The Broken Window Theory,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional
-6151852268067518688,Google Data Center 360° Tour,Microsoft and HackerRank bring executable code snippets to Bing's search results pages,"Twitter killed Magic Recs, the only useful bot there is","Here's what Viv looks like, the next generation AI assistant built by Siri creator",DeepMind moves to TensorFlow,8 things to expect from Google's biggest event of the year
-6136272094613269629,Top 10 contributing customers,Scientists discover potentially habitable planets,Jeff Seguros: SEGUROS E GAMES,How to Start a Telegram Bot With PHP,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,Welcome Google Cloud Platform!
-6133746337603876146,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,Manage Client-Side Packages with Bower - ASP.NET documentation,"Microsoft HoloLens and Lowe's, working to redefine your next home renovation",Windows 10 Anniversary SDK is bringing exciting opportunities to developers,4 Blockchain Macro Trends: Where to Place Your Bets,Windows Subsystem for Linux Overview
-6126634320182965455,"020 - Carine Roos: 33 dias sem machismo, MariaLab, Upwit e os desafios das mulheres na tecnologia",18 frases que as mulheres precisam parar de falar umas para as outras - UOL Estilo de vida,3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web,Savage Love Letter of the Day: Get Out There and Fight,Workplace diversity in Brazil: there's still a long way to go,Write Like You Talk
-6124198068300347794,The Language of Beauty Ads,Diversidade no Brasil: um longo caminho a percorrer,Savage Love Letter of the Day: Get Out There and Fight,#iLookLikeAnEngineer: One Year Later,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Write Like You Talk
-6076367233589223323,Android Developers Summer Reading List,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Uber's first self-driving cars will start picking up passengers this month,RecyclerView Prefetch - Google Developers,Programação Reativa Funcional com RxJava
-6074646493203713780,Clean Coder Blog,Alecrim/AlecrimCoreData,Joel on Software,Ordering coffee in Italy: the 10 commandments,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
